ID,Layer,Component_Exchange,Kind,Source_Component,Source_Port,Target_Component,Target_Port,Allocated_Functional_Exchange,Origin,Component_Exchange_UUID,Definition_Status
SA-CE-01,SA,Incident Acoustic Excitation,FLOW,Aircraft Acoustic Environment,Incident Acoustic Excitation,Hybrid Acoustic Comfort Cell (HACC),Incident Acoustic Excitation,Incident Acoustic Excitation,BASE,530be127-b91a-5645-8fc4-f2b6cd153cc4,Architecture boundary defined; detailed data/energy contract outside portfolio scope
SA-CE-02,SA,Passive Cabin Acoustic Environment,FLOW,Hybrid Acoustic Comfort Cell (HACC),Passive Cabin Acoustic Environment,VIP Passenger,Passive Cabin Acoustic Environment,Passive Cabin Acoustic Environment,BASE,4eba88c6-489f-5493-814e-87e76eea110e,Architecture boundary defined; detailed data/energy contract outside portfolio scope
SA-CE-03,SA,Crew Enable or Disable Request,FLOW,Cabin Crew,Crew Enable or Disable Request,Hybrid Acoustic Comfort Cell (HACC),Crew Enable or Disable Request,Crew Enable or Disable Request,BASE,b6d2898f-971d-596b-8610-c099717f1cc8,Architecture boundary defined; detailed data/energy contract outside portfolio scope
SA-CE-04,SA,Crew HACC Availability Indication,FLOW,Hybrid Acoustic Comfort Cell (HACC),Crew HACC Availability Indication,Cabin Crew,Crew HACC Availability Indication,Crew HACC Availability Indication,BASE,f4addef8-e3ff-58b1-81f6-c32098f24b94,Architecture boundary defined; detailed data/energy contract outside portfolio scope
SA-CE-05,SA,Maintenance Diagnostic Information,FLOW,Hybrid Acoustic Comfort Cell (HACC),Maintenance Diagnostic Information,Maintenance Technician,Maintenance Diagnostic Information,Maintenance Diagnostic Information,BASE,d3dc0b59-d86a-5592-a8a6-ce2593275126,Architecture boundary defined; detailed data/energy contract outside portfolio scope
SA-CE-06,SA,Read-Only Cabin Management Status [EXT],FLOW,Hybrid Acoustic Comfort Cell (HACC),Read-Only Cabin Management Status [EXT],Cabin Management System [EXT],Read-Only Cabin Management Status [EXT],Read-Only Cabin Management Status [EXT],EXT,43b67a14-1b8d-5aad-b307-5bc63e8b9171,Architecture boundary defined; detailed data/energy contract outside portfolio scope
SA-CE-07,SA,Selected Ground Diagnostic Records [EXT],FLOW,Hybrid Acoustic Comfort Cell (HACC),Selected Ground Diagnostic Records [EXT],Ground Maintenance Service [EXT],Selected Ground Diagnostic Records [EXT],Selected Ground Diagnostic Records [EXT],EXT,6c63a3dc-0779-5854-9b23-0864fd93ede5,Architecture boundary defined; detailed data/energy contract outside portfolio scope
SA-CE-08,SA,Passenger-Ear Acoustic Field,FLOW,VIP Passenger,Passenger-Ear Acoustic Field,Hybrid Acoustic Comfort Cell (HACC),Passenger-Ear Acoustic Field,Passenger-Ear Acoustic Field,BASE,6ae51765-ab82-53d3-a5da-04160a6871d6,Architecture boundary defined; detailed data/energy contract outside portfolio scope
SA-CE-09,SA,Local Maintenance Diagnostic Request,FLOW,Maintenance Technician,Local Maintenance Diagnostic Request,Hybrid Acoustic Comfort Cell (HACC),Local Maintenance Diagnostic Request,Local Maintenance Diagnostic Request,BASE,8e657e93-3188-5eb6-96e4-783715083b1d,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-01,LA,Incident Acoustic Excitation,FLOW,Aircraft Acoustic Environment,Incident Acoustic Excitation,HACC Logical System,Incident Acoustic Excitation,Incident Acoustic Excitation,BASE,dd8ed8b9-939b-55b1-aeee-8149289d3291,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-02,LA,Passive Cabin Acoustic Environment,FLOW,HACC Logical System,Passive Cabin Acoustic Environment,VIP Passenger,Passive Cabin Acoustic Environment,Passive Cabin Acoustic Environment,BASE,a29c8a3b-7dd1-5e83-b3e2-68ab5f15925c,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-03,LA,Crew Enable or Disable Request,FLOW,Cabin Crew,Crew Enable or Disable Request,HACC Logical System,Crew Enable or Disable Request,Crew Enable or Disable Request,BASE,b30b8860-42be-5694-9cf0-e7a03c8f7dc6,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-04,LA,Crew HACC Availability Indication,FLOW,HACC Logical System,Crew HACC Availability Indication,Cabin Crew,Crew HACC Availability Indication,Crew HACC Availability Indication,BASE,7a4fe833-2338-569c-866f-81f99a50c497,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-05,LA,Maintenance Diagnostic Information,FLOW,HACC Logical System,Maintenance Diagnostic Information,Maintenance Technician,Maintenance Diagnostic Information,Maintenance Diagnostic Information,BASE,9ab67f4e-6faa-5586-a1c6-551be224063d,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-06,LA,Read-Only Cabin Management Status [EXT],FLOW,HACC Logical System,Read-Only Cabin Management Status [EXT],Cabin Management System [EXT],Read-Only Cabin Management Status [EXT],Read-Only Cabin Management Status [EXT],EXT,6947b94b-595a-55f9-9e8e-08a167cea5fc,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-07,LA,Selected Ground Diagnostic Records [EXT],FLOW,HACC Logical System,Selected Ground Diagnostic Records [EXT],Ground Maintenance Service [EXT],Selected Ground Diagnostic Records [EXT],Selected Ground Diagnostic Records [EXT],EXT,49c808bb-016d-52fe-9465-3331022275b3,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-08,LA,Passenger-Ear Acoustic Field,FLOW,VIP Passenger,Passenger-Ear Acoustic Field,HACC Logical System,Passenger-Ear Acoustic Field,Passenger-Ear Acoustic Field,BASE,6a29cc20-8b9e-561d-aadd-4ed0cc5ea259,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-09,LA,Local Maintenance Diagnostic Request,FLOW,Maintenance Technician,Local Maintenance Diagnostic Request,HACC Logical System,Local Maintenance Diagnostic Request,Local Maintenance Diagnostic Request,BASE,cc5535e0-9f6f-58e6-baee-4a95986380d2,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-10,LA,Transmitted Acoustic Energy,FLOW,Passive Enclosure,Transmitted Acoustic Energy,Dominant-Bay Resonance Treatment,Transmitted Acoustic Energy,Transmitted Acoustic Energy,BASE,19598047-a980-57ec-a2a2-14df8c14e54a,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-11,LA,Damped Residual,FLOW,Dominant-Bay Resonance Treatment,Damped Residual,Tuned Resonator Module,Damped Residual,Damped Residual,BASE,608fc006-5c2b-51bc-b17f-8e551fb44b8f,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-12,LA,Structural Reference Signal,FLOW,Structural Reference Sensing,Structural Reference Signal,ANC Controller and Fault Manager,Structural Reference Signal,Structural Reference Signal,BASE,8f8ee2b5-8e87-566d-a2a2-c45050dd1cc2,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-13,LA,Ear-Side Error Signal,FLOW,Error Sensing,Ear-Side Error Signal,ANC Controller and Fault Manager,Ear-Side Error Signal,Ear-Side Error Signal,BASE,05caeac3-713f-5f69-a51f-3b35777f50a6,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-14,LA,Seated Cancellation Command,FLOW,ANC Controller and Fault Manager,Seated Cancellation Command,Seated Headrest Actuator Subsystem,Seated Cancellation Command,Seated Cancellation Command,BASE,52026cd2-a594-5117-b7bb-06253658654f,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-15,LA,Seat Mode,FLOW,Seat-Mode Manager,Seat Mode,ANC Controller and Fault Manager,Seat Mode,Seat Mode,BASE,f15cc8d8-748d-5e3e-bad3-81b39c298be8,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-16,LA,Crew Disable Command,FLOW,Crew Control Interface,Crew Disable Command,ANC Controller and Fault Manager,Crew Disable Command,Crew Disable Command,BASE,18868f46-9c4c-5840-aea5-f8dc34b5450c,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-17,LA,Maintenance Diagnostic Data,FLOW,ANC Controller and Fault Manager,Maintenance Diagnostic Data,Health and Diagnostics,Maintenance Diagnostic Data,Maintenance Diagnostic Data,BASE,9414f447-56aa-511f-b478-2a595e7a5fc8,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-18,LA,Cabin Management Status [EXT],FLOW,ANC Controller and Fault Manager,Cabin Management Status [EXT],Cabin Management Adapter [EXT],Cabin Management Status [EXT],Cabin Management Status [EXT],EXT,db4960f5-b0b9-5d25-a546-e877f5c44b5f,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-19,LA,Ground Diagnostic Data [EXT],FLOW,Health and Diagnostics,Ground Diagnostic Data [EXT],Ground Maintenance Adapter [EXT],Ground Diagnostic Data [EXT],Ground Diagnostic Data [EXT],EXT,6307fbfe-c40f-55f1-a5e8-2623bdf40949,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-20,LA,Bed-Mode Cancellation Command,FLOW,ANC Controller and Fault Manager,Bed-Mode Cancellation Command,Bed-Mode Actuator Subsystem,Bed-Mode Cancellation Command,Bed-Mode Cancellation Command,BASE,cc523700-98e0-5892-9e24-92c7422833c3,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-21,LA,Seated Secondary Acoustic Contribution,FLOW,Seated Headrest Actuator Subsystem,Seated Secondary Acoustic Contribution,Error Sensing,Seated Secondary Acoustic Contribution,Seated Secondary Acoustic Contribution,BASE,3eba60d3-f2c4-543d-906d-1204d98f6831,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-22,LA,Bed-Mode Secondary Acoustic Contribution,FLOW,Bed-Mode Actuator Subsystem,Bed-Mode Secondary Acoustic Contribution,Error Sensing,Bed-Mode Secondary Acoustic Contribution,Bed-Mode Secondary Acoustic Contribution,BASE,f9585947-0f04-56fb-a1db-002151e929d6,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-23,LA,Delegate Incident Acoustic Excitation,DELEGATION,HACC Logical System,Incident Acoustic Excitation,Passive Enclosure,Incident Acoustic Excitation,Boundary delegation,BASE,5a171a2d-5771-5f67-8f78-1e292f76bec8,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-24,LA,Delegate Passive Cabin Acoustic Environment,DELEGATION,HACC Logical System,Passive Cabin Acoustic Environment,Tuned Resonator Module,Passive Cabin Acoustic Environment,Boundary delegation,BASE,20d90634-5ff8-529e-984f-d56d1ba9582b,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-25,LA,Delegate Crew Enable or Disable Request,DELEGATION,HACC Logical System,Crew Enable or Disable Request,Crew Control Interface,Crew Enable or Disable Request,Boundary delegation,BASE,9a7a696a-947d-56c9-9df5-e4263bfaa9b7,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-26,LA,Delegate Crew HACC Availability Indication,DELEGATION,HACC Logical System,Crew HACC Availability Indication,ANC Controller and Fault Manager,Crew HACC Availability Indication,Boundary delegation,BASE,49bc7ea4-18e6-5d50-a715-fdf648eb9ba6,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-27,LA,Delegate Maintenance Diagnostic Information,DELEGATION,HACC Logical System,Maintenance Diagnostic Information,Health and Diagnostics,Maintenance Diagnostic Information,Boundary delegation,BASE,e76a338c-644d-5c74-ae03-2786395eddd4,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-28,LA,Delegate Read-Only Cabin Management Status [EXT],DELEGATION,HACC Logical System,Read-Only Cabin Management Status [EXT],Cabin Management Adapter [EXT],Read-Only Cabin Management Status [EXT],Boundary delegation,EXT,563e4be6-e7be-537e-a188-ff5d7ac158cb,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-29,LA,Delegate Selected Ground Diagnostic Records [EXT],DELEGATION,HACC Logical System,Selected Ground Diagnostic Records [EXT],Ground Maintenance Adapter [EXT],Selected Ground Diagnostic Records [EXT],Boundary delegation,EXT,1d4f3298-16fe-53c1-be33-332c0feceef0,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-30,LA,Delegate Passenger-Ear Acoustic Field,DELEGATION,HACC Logical System,Passenger-Ear Acoustic Field,Error Sensing,Passenger-Ear Acoustic Field,Boundary delegation,BASE,6e83ab58-1787-5ba5-bad2-08440c1b9b3a,Architecture boundary defined; detailed data/energy contract outside portfolio scope
LA-CE-31,LA,Delegate Local Maintenance Diagnostic Request,DELEGATION,HACC Logical System,Local Maintenance Diagnostic Request,Health and Diagnostics,Local Maintenance Diagnostic Request,Boundary delegation,BASE,54df2384-c4f2-5a2e-9c25-431bd8e4d242,Architecture boundary defined; detailed data/energy contract outside portfolio scope
