ID,Name,Gate,Verification Method / Exit Evidence,Requirement_IDs,Status,Evidence,Result
VC-01,Supplier Material Screening,G1,Impedance-tube/JCA fit and flammability screening produce controlled material data.,SYS-REQ-02;CON-02,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-02,Porous Material Characterisation,G1,Measure flow resistivity and refit the porous model before low-frequency release.,SYS-REQ-02;CON-02,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-03,CFRP-HACC Coupon TL Correlation,G2,Measure transmission loss/loss factor; target ±3 dB correlation; freeze layer order and cavity after pass.,SYS-REQ-02;SYS-REQ-03;VER-REQ-01,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-04,Resonator Characterisation,G2,Measure absorption of the 97/120/149 Hz cassette and retain no passenger-level credit until representative A/B evidence exists.,SYS-REQ-04;CON-02,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-05,Cabin Mock-Up Integration,G3,"Demonstrate modules, joints, seals, maintenance access and resonator A/B room-field change.",SYS-REQ-09;SYS-REQ-10,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-06,Seated Active Seat Rig,G4,Measure secondary paths/coherence and demonstrate stable seated attenuation with the 2×2×2 architecture.,SYS-REQ-05;VER-REQ-02,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-07,Bed-Mode Handover and Attenuation,G4,"Demonstrate seat-position detection, automatic handover and stable bed-mode attenuation.",SN-02;SYS-REQ-06;VER-REQ-02,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-08,Sensor / Reference Fault Injection,G4,Inject incoherent reference or sensor fault and verify adaptation freeze with passive HACC retained.,SYS-REQ-08;SYS-REQ-01,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-09,Clipping / Saturation Protection,G4,Force clipping/saturation and verify output limiting and reduced adaptation authority.,SYS-REQ-08,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-10,Power-Loss Fail-Passive Test,G4,Remove ANC power and verify automatic mute with no adverse sound and passive protection retained.,SYS-REQ-01;SYS-REQ-08,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-11,Crew Disable Test,G4,Verify crew disable/mute command transitions active control safely to passive-only operation.,SYS-REQ-07;SYS-REQ-01,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-12,Matched A/B Cruise Flight Test,G5,"Measure broadband and narrowband passenger results at stabilised cruise; retune, qualify or reject.",SN-01;CON-02,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-13,Cabin Management Status Interface Test [EXT],EXT,Verify representative read-only status/health exchange and scope boundary; no proprietary CMS implementation is claimed.,EXT-REQ-01;EXT-REQ-03,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-14,Ground Maintenance Diagnostic Interface Test [EXT],EXT,Verify selected diagnostic records can be exported to a representative ground-maintenance endpoint.,EXT-REQ-02,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-15,Installation and Maintainability Inspection,G3,"Inspect no-fastener CFRP rule, isolators/bonding, clearances, modular access and mass accounting.",SYS-REQ-09;SYS-REQ-10;CON-01,PLANNED,Planned evidence identified; no result recorded,Not assessed
VC-16,Installed Material Stack Qualification Plan,G1+,"Demonstrate planned screening/qualification path for materials, adhesives, facings and ANC electronics; no certification claim in demonstrator.",CON-02,PLANNED,Planned evidence identified; no result recorded,Not assessed
