ID,Type,Origin,Requirement / Need,Source,Verification_Cases,Status,Constraint_UUID,Architecture_Anchors
SN-01,Stakeholder Need,BASE,Improve low-frequency acoustic comfort for VIP passengers during long-haul cruise.,KPR LuxAero HACC Final Technical Report (2026); InnovAero task objective; FTR §1,VC-12,Defined — verification planned,5c07bb51-b2d6-55f5-ae27-61df65dd1732,Reduce Broadband Acoustic Transmission; Damp Mass-Air-Mass Resonance; Absorb Targeted Low-Frequency Cabin Residual; Calculate Active Cancellation; Emit Seated Cancellation Sound; Emit Bed-Mode Cancellation Sound; Hybrid Acoustic Comfort Cell (HACC); HACC Physical System
SN-02,Stakeholder Need,BASE,Address acoustic comfort in both seated and lie-flat passenger configurations.,KPR LuxAero HACC Final Technical Report (2026); InnovAero task A5; FTR §7.4,VC-07,Defined — verification planned,7111cd2d-6845-5919-89e5-3a96152d579b,Manage Seated and Bed-Mode Handover; Emit Seated Cancellation Sound; Emit Bed-Mode Cancellation Sound; Acquire Seat Position; Seat-Mode Manager; Seat-Position Sensor; Seated Headrest Loudspeaker Pair; Bed-Mode Secondary Transducer Array
SYS-REQ-01,System Requirement,BASE,The HACC shall provide a fail-passive architecture such that loss or disablement of ANC retains passive acoustic protection.,KPR LuxAero HACC Final Technical Report (2026); FTR §1.1; §10 Table 22,VC-10,Defined — verification planned,9efc4edc-6721-55db-9a3b-02d410fb5ba6,Protect Against ANC Faults; Passive Enclosure Assembly; ANC Controller and Fault Manager Behaviour; HACC Physical System
SYS-REQ-02,System Requirement,BASE,The passive architecture shall provide a six-face 2.0 kg/m² barrier with melamine treatment and local dominant-bay reinforcement as defined by the selected C4 concept.,"KPR LuxAero HACC Final Technical Report (2026); FTR §§7,9; Table 21",VC-03,Defined — verification planned,ed5d114c-7f4f-5529-8b71-83b32467bc19,Reduce Broadband Acoustic Transmission; Passive Enclosure Assembly; 2.0 kg/m² Limp-Mass Barrier; 100 mm Melamine Upper-Face Absorber; 25 mm Floor Melamine Layer
SYS-REQ-03,System Requirement,BASE,The controlling dominant bay shall use a fully filled 125 mm porous cavity with local CLD and +1.0 kg/m² barrier overlay.,"KPR LuxAero HACC Final Technical Report (2026); FTR §§6.1,7.1,9.4",VC-03,Defined — verification planned,a2216ee3-b974-578c-9cf3-f69489d82df1,Damp Mass-Air-Mass Resonance; Dominant-Bay Treatment Assembly; 125 mm Full-Fill Dominant-Bay Melamine; Local CLD Layer; +1.0 kg/m² Local Barrier Overlay
SYS-REQ-04,System Requirement,BASE,"The cabin-side resonator cassette shall retain independently serviceable cells tuned nominally to 97 Hz, 120 Hz and 149 Hz.",KPR LuxAero HACC Final Technical Report (2026); FTR §7.2,VC-04,Defined — verification planned,a4a982e3-46af-515c-a938-5af63f1879f8,Absorb Targeted Low-Frequency Cabin Residual; 97/120/149 Hz Resonator Cassette; Tuned Resonator Module Behaviour
SYS-REQ-05,System Requirement,BASE,"The active-control architecture shall use two structural references, two secondary sources and two ear-side error microphones for the seated configuration.",KPR LuxAero HACC Final Technical Report (2026); FTR §10,VC-06,Defined — verification planned,a8b54139-52cc-514c-b942-f617d5fee611,Acquire Structural Reference Signals; Estimate Passenger-Ear Residual; Calculate Active Cancellation; Emit Seated Cancellation Sound; R1/R2 Structural Reference Sensors; Ear-Side Error Microphone Pair; FxLMS DSP and Amplifier; Seated Headrest Loudspeaker Pair
SYS-REQ-06,System Requirement,BASE,The active-control architecture shall support a bed-mode secondary array and automatic handover based on seat-position state.,KPR LuxAero HACC Final Technical Report (2026); FTR §7.4; §10,VC-07,Defined — verification planned,f8225d49-a92f-5beb-a06b-55736f33b86a,Manage Seated and Bed-Mode Handover; Emit Bed-Mode Cancellation Sound; Acquire Seat Position; Seat-Mode Manager; Seat-Position Sensor; Bed-Mode Secondary Transducer Array; Seat-Mode Manager Behaviour
SYS-REQ-07,System Requirement,BASE,Cabin crew shall be able to disable or mute the active acoustic-control layer.,KPR LuxAero HACC Final Technical Report (2026); FTR §10,VC-11,Defined — verification planned,8afe3187-1a97-545d-8c44-b62ee1c81a33,Provide Crew Active-Control Disable; Crew Control Interface; Crew Disable / Mute Interface; Crew Control Interface Behaviour
SYS-REQ-08,System Requirement,BASE,"ANC faults shall invoke bounded safe responses including freeze, limit, mute or feedback-disable while preserving passive HACC operation.",KPR LuxAero HACC Final Technical Report (2026); FTR §10 Table 22,VC-08,Defined — verification planned,e5b626b0-ee92-58b1-981f-7303d37a6156,Protect Against ANC Faults; ANC Controller and Fault Manager; FxLMS DSP and Amplifier; ANC Controller and Fault Manager Behaviour; Health and Diagnostics Behaviour
SYS-REQ-09,System Requirement,BASE,The installation shall preserve inspection and maintenance access through modular treatment and replaceable service elements.,"KPR LuxAero HACC Final Technical Report (2026); FTR §§7.2,9",VC-15,Defined — verification planned,d6841b9a-f563-5ae1-a52e-a2e7c185e3c6,Reduce Broadband Acoustic Transmission; Damp Mass-Air-Mass Resonance; Absorb Targeted Low-Frequency Cabin Residual; Provide Maintenance Diagnostics; HACC Physical System; Passive Enclosure Assembly; Dominant-Bay Treatment Assembly; 97/120/149 Hz Resonator Cassette; Maintenance Diagnostic Interface
SYS-REQ-10,System Requirement,BASE,The HACC installation shall use isolators/brackets/bonding provisions and shall not introduce direct fasteners into CFRP primary structure.,KPR LuxAero HACC Final Technical Report (2026); FTR §9,VC-15,Defined — verification planned,fe34aeb9-990b-54fe-8f60-47884a0eb3ff,"HACC Physical System; Passive Enclosure Assembly; 140 Elastomeric Isolators, Brackets and Bonding Straps"
CON-01,Design Constraint,BASE,"Concept delta mass before growth is 135.0 kg passive and 147.5 kg including the active system; these are planning estimates, not frozen installation weights.",KPR LuxAero HACC Final Technical Report (2026); FTR §9.4 Table 21,VC-15,Defined — verification planned,09523a50-4217-513b-8ce5-76ad615be3de,HACC Physical System
CON-02,Design Constraint,BASE,The demonstrator shall preserve the FTR distinction between screening predictions and installed/certified performance; no guaranteed active or broadband sleep-grade claim is made.,KPR LuxAero HACC Final Technical Report (2026); FTR §11 conclusions/limitations,VC-12,Defined — verification planned,633e0746-6650-54a2-a850-a8e6d7caa793,Monitor ANC Health; HACC Physical System
VER-REQ-01,Verification Requirement,BASE,"CFRP-HACC coupon correlation shall target agreement within ±3 dB before freezing layer order, cavity and resonator geometry.",KPR LuxAero HACC Final Technical Report (2026); FTR Table 23 G2,VC-03,Defined — verification planned,e3c34ff6-c9bb-501d-a74d-de738839978f,Reduce Broadband Acoustic Transmission; Passive Enclosure Assembly; Dominant-Bay Treatment Assembly; 97/120/149 Hz Resonator Cassette
VER-REQ-02,Verification Requirement,BASE,Active seat-rig testing shall demonstrate stable attenuation in both passenger postures before flight configuration authorization.,KPR LuxAero HACC Final Technical Report (2026); FTR Table 23 G4,VC-06,Defined — verification planned,f31632a7-6065-59e2-8868-df5d97a2ef12,Calculate Active Cancellation; Manage Seated and Bed-Mode Handover; Emit Seated Cancellation Sound; Emit Bed-Mode Cancellation Sound; FxLMS DSP and Amplifier; Seated Headrest Loudspeaker Pair; Bed-Mode Secondary Transducer Array
EXT-REQ-01,Extension Requirement,EXT,The HACC shall provide a representative read-only health/status interface to a cabin-management system through a defined read-only boundary.,MBSE extension,VC-13,Defined — verification planned,1bcdc135-5f22-52df-8805-9dc571234e6a,Report HACC Status to Cabin Management [EXT]; Cabin Management Adapter [EXT]; Cabin Management Status Interface [EXT]; Cabin Management Adapter [EXT] Behaviour
EXT-REQ-02,Extension Requirement,EXT,The HACC shall provide selected maintenance diagnostic information to a representative ground-maintenance service through a defined read-only boundary.,MBSE extension,VC-14,Defined — verification planned,17371696-7c3c-576f-aecf-9b5d2698f2ee,Provide Ground Maintenance Data [EXT]; Ground Maintenance Adapter [EXT]; Ground Maintenance Data Interface [EXT]; Ground Maintenance Adapter [EXT] Behaviour
